ID,Language,Probability,ObjectKnowledge1Code,MachineKnowledge1Code,ObjectKnowledge2Code,MachineKnowledge2Code,EstimatePercentage1,EstimatePercentage2
485,1,60,1,1,1,0,65,60
486,1,60,1,1,1,1,60,60
487,1,60,1,1,1,1,70,60
488,1,60,1,1,1,1,80,60
489,1,60,1,1,1,1,60,60
490,1,60,1,2,1,2,40,30
491,1,60,0,0,0,0,33,66
492,1,60,2,2,2,2,75,60
493,1,60,1,1,1,1,70,60
494,1,60,2,1,2,1,70,55
495,1,60,2,2,2,2,90,80
496,1,60,1,1,1,1,50,50
558,1,70,2,1,2,1,70,60
559,1,70,2,2,2,2,66,66
560,1,70,1,1,1,1,50,70
561,1,70,1,1,1,1,80,80
562,1,70,1,1,2,1,75,75
563,1,70,1,2,1,1,80,70
564,1,70,1,1,1,1,80,90
565,1,70,2,2,2,2,70,70
566,1,70,1,2,1,2,60,70
567,1,70,2,2,2,2,90,70
568,1,70,2,1,2,1,70,70
569,1,70,1,0,0,0,70,80
570,1,70,1,0,1,1,60,70
571,1,70,1,1,1,1,75,70
572,1,70,2,1,1,1,40,70
573,1,70,1,2,2,2,66,80
574,1,70,1,1,2,2,50,50
575,1,70,2,2,2,2,100,100
576,1,70,1,1,1,1,30,70
577,1,70,1,1,1,1,60,70
578,1,70,2,2,2,2,75,80
579,1,70,1,1,1,1,30,30
580,1,70,1,1,1,1,66,80
581,1,70,2,2,1,1,75,80
582,1,70,2,1,2,2,2,70
583,1,70,1,1,1,1,80,70
584,1,70,0,0,0,0,70,60
585,1,70,0,1,1,1,33,32
586,1,70,2,1,2,1,70,70
587,1,70,1,1,1,1,80,90
588,1,70,2,2,2,2,70,70
589,1,70,1,1,1,1,80,80
655,1,80,2,1,2,1,80,80
656,1,80,1,1,1,1,90,90
657,1,80,1,1,1,1,80,80
658,1,80,2,1,2,1,50,90
659,1,80,1,1,1,1,20,20
660,1,80,1,1,1,1,70,78
661,1,80,2,2,2,2,80,80
662,1,80,2,2,2,2,8,10
663,1,80,1,1,1,1,70,80
664,1,80,1,1,1,1,80,80
665,1,80,1,1,1,1,8,56
666,1,80,1,1,1,1,80,80
667,1,80,2,1,2,2,80,80
668,1,80,2,2,2,2,80,80
669,1,80,2,2,2,2,95,95
670,1,80,1,2,2,2,1,4
671,1,80,1,1,1,1,80,80
672,1,80,1,1,1,1,80,80
673,1,80,2,2,2,2,80,60
674,1,80,2,2,2,2,80,80
675,1,80,2,1,2,2,80,85
676,1,80,2,2,1,1,5,3
677,1,80,2,2,2,2,80,90
678,1,80,1,1,1,1,75,75
679,1,80,2,1,1,1,85,60
680,1,80,1,1,1,1,70,80
681,1,80,1,1,0,0,50,95
682,1,80,2,2,2,2,90,95
683,1,80,1,1,1,1,50,80
684,1,80,2,2,2,2,70,80
685,1,80,2,2,2,2,80,80
686,1,80,1,1,1,1,60,80
687,1,80,2,2,2,2,95,80
749,1,90,2,2, , ,90, 
750,1,90,1,1,1,1,95,92
751,1,90,2,1,2,1,80,100
752,1,90,2,2,2,2,90,90
753,1,90,2,1,2,1,95,95
754,1,90,1,1,1,1,80,80
755,1,90,1,1,1,1,75,90
756,1,90,2,2,2,2,80,90
757,1,90,2,1,1,1,60,90
758,1,90,1,1,1,1,60,95
759,1,90,2,1,2,1,92,93
760,1,90,1,1,1,1,45,100
761,1,90,2,2,2,2,90,95
762,1,90,1,1,1,1,90,90
763,1,90,1,1,1,1,90,90
764,1,90,1,1,1,1,90,90
765,1,90,1,1,1,1,90,90
